Expt,AT1G01560
1,3.36192
1,0
1,0.439635
1,0.349984
1,1.52857
1,7.42018
1,1.29831
1,0.484957
1,1.56638
1,0
1,1.32067
1,0.305011
1,1.84552
1,4.63963
1,4.40653
1,0
1,1.37862
1,1.96248
1,6.87563
1,1.73046
1,0.518623
1,0
1,2.97109
1,5.69485
1,1.94725
1,3.80733
1,0.698228
1,11.753
1,0.606482
1,8.97235
1,1.59502
1,1.54751
1,0
1,0.334099
1,0
1,0.71419
1,2.47723
1,4.64016
1,0.63842
1,1.85045
1,1.05585
1,1.81986
1,0.691309
1,0
1,2.66295
1,0.67016
1,0
1,1.62323
1,0.725167
1,3.73667
1,0
1,7.36188
1,0
1,1.17432
1,8.35721
1,11.6328
1,1.84422
1,7.77997
1,0.871318
1,3.51789
1,0
1,3.52035
1,0
1,0
1,0
1,2.64385
1,1.39167
1,1.33769
1,0
1,1.69277
1,0
1,0.886955
1,2.84534
1,0.982426
1,0.893934
1,0.818734
1,0
1,0.457832
1,6.5924
1,3.96588
1,0
1,8.10006
1,0
1,0
1,0.902547
1,0
1,0
1,0.634007
1,1.70066
1,0.849068
1,1.35157
1,1.02779
1,3.82476
1,3.73314
1,0
1,0.739392
1,3.10337
1,1.31064
1,3.33572
1,1.15132
1,6.02746
1,8.42081
1,1.2194
1,0.987074
1,2.05839
1,2.03262
1,19.4897
1,0
1,0
1,3.4045
1,0.784495
1,3.4974
1,2.02494
1,3.56755
1,0
1,0.947707
1,0
1,4.17006
1,0.635315
1,0
1,0.536541
1,1.68986
1,0
1,0.668347
1,0
1,2.07214
1,0.897638
1,0
1,1.80232
1,1.00616
1,0
1,0.598334
1,0
1,3.19114
1,0.964196
1,3.66735
1,1.20557
1,2.05583
1,1.02748
1,0
1,0.500327
1,2.05503
1,0.565177
1,1.58683
1,9.09955
1,1.06371
1,13.0085
1,1.71934
1,0
1,1.04764
1,0
1,0.914752
1,0
1,0.84765
1,1.35975
1,1.16666
1,1.20131
1,0.547631
1,0
1,0
1,2.91009
1,1.04933
1,1.16048
1,6.16268
1,0.777274
1,0.914152
1,2.83779
1,0.898973
1,3.13624
1,10.9064
1,0.827147
1,0.703412
1,0
1,1.10716
1,0
1,0.533579
1,0
1,0
1,4.1446
1,0.606562
1,1.91397
1,0
1,0.679615
1,1.04929
1,0.720312
1,1.80856
1,1.26454
1,2.96255
1,0
1,5.11243
1,2.61255
1,1.62101
1,3.33795
1,1.15561
1,0
1,0.850626
1,1.88126
1,1.39306
1,0
1,0.528893
1,3.65575
1,0
1,6.34651
1,0
1,3.51854
1,0
1,0.642038
1,1.35695
1,1.55551
1,0.854672
1,0
1,0.774175
1,0.550107
1,1.57686
1,3.88057
1,0
1,0
1,0
1,0.439948
1,0
1,8.2098
1,7.16226
1,0
1,0.4484
1,0
1,0
1,2.38208
1,0.550272
1,0.487107
1,8.47596
1,0
1,0
1,0
1,0
1,1.27978
1,1.51617
1,1.07583
1,1.66794
2,0.399244
2,1.15973
2,4.78724
2,0
2,5.61836
2,0
2,2.4825
2,4.30169
2,1.72218
2,1.04485
2,2.24834
2,0
2,5.27182
2,0
2,2.22528
2,1.89922
2,0
2,0.692089
2,1.11562
2,0
2,0.796565
2,0
2,2.22648
2,0
2,0
2,0.999305
2,2.45559
2,0
2,1.27404
2,3.88133
2,2.32979
2,0
2,2.9825
2,1.65492
2,0.573335
2,0.443568
2,0.724196
2,0
2,0
2,0
2,0
2,3.15661
2,0.651399
2,0.419043
2,1.55161
2,0.401009
2,0
2,2.03943
2,0.960591
2,0
2,1.27303
2,0
2,0
2,0.467909
